Rent,Address,Area,Bed,Bath,School,Crime,Commute,Shop_eat,Description,Feature,URL
"$2,925/mo",53 Joy St #4,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1044 Restaurants117 Groceries383 Nightlife,"53 Joy St #4,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 53 Joy St #4 is located inBeacon Hill, Boston. 53 Joy St #4 was listed for rent for $2,925/month on Jun 8, 2020.","Details for 53 Joy St #4Multi Family17 Days on TruliaRent Includes: Hot Water, Sewage, GarbageDeposit: $2,925Heating fuel: noneParking Type: noneNo Air ConditioningFloors: HardwoodHeating Fuel: None",https://www.trulia.com/p/ma/boston/53-joy-st-4-boston-ma-02114--2172851055
"$2,525/mo",31 Temple St #3F,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1027 Restaurants116 Groceries381 Nightlife,"31 Temple St #3F,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 31 Temple St #3F is located inBeacon Hill, Boston. 31 Temple St #3F was listed for rent for $2,525/month on May 12, 2020. This property is pet friendly.","Details for 31 Temple St #3FMulti FamilyCats, small dogs, large dogs allowed44 Days on TruliaRent Includes: Hot Water, Sewage, GarbageDeposit: $2,525Parking Type: noneNo Air ConditioningHeating fuel: noneRefrigeratorHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/31-temple-st-3f-boston-ma-02114--2179989266
"$2,525/mo",31 Temple St #3F,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1027 Restaurants116 Groceries381 Nightlife,"31 Temple St #3F,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 31 Temple St #3F is located inBeacon Hill, Boston. 31 Temple St #3F was listed for rent for $2,525/month on May 12, 2020. This property is pet friendly.","Details for 31 Temple St #3FMulti FamilyCats, small dogs, large dogs allowed44 Days on TruliaRent Includes: Hot Water, Sewage, GarbageDeposit: $2,525Parking Type: noneNo Air ConditioningHeating fuel: noneRefrigeratorHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/31-temple-st-3f-boston-ma-02114--2179989266
"$2,600/mo",38 Garden St #4,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1049 Restaurants121 Groceries395 Nightlife,"38 Garden St #4,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 38 Garden St #4 is located inBeacon Hill, Boston. 38 Garden St #4 was listed for rent for $2,800/month on Jan 8, 2020.",Details for 38 Garden St #4Multi FamilyNo pets allowedRent Includes: Hot WaterParking: Off StreetLaundry: SharedEat-in KitchenFloors: Hardwood,https://www.trulia.com/p/ma/boston/38-garden-st-4-boston-ma-02114--2171828437
"$2,595/mo",9 Grove St #3,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeModerate crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1043 Restaurants123 Groceries391 Nightlife,"9 Grove St #3,Boston, MA is a 2 bedroom, 1 bathroom, 700 sqft multi-family. 9 Grove St #3 is located inBeacon Hill, Boston. 9 Grove St #3 was listed for rent for $2,595/month on Jun 19, 2020.","Details for 9 Grove St #3Multi FamilyAvailable: Sep 1stNo pets allowed6 Days on TruliaRent Includes: Heat, WaterDeposit: $2,595Laundry: SharedUnfurnished -Refrigerator",https://www.trulia.com/p/ma/boston/9-grove-st-3-boston-ma-02114--2175493209
"$2,700/mo",38 Garden St #4,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1049 Restaurants121 Groceries395 Nightlife,"38 Garden St #4,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 38 Garden St #4 is located inBeacon Hill, Boston. 38 Garden St #4 was listed for rent for $2,800/month on Jan 8, 2020.",Details for 38 Garden St #4Multi FamilyNo pets allowedRent Includes: Hot WaterParking: Off StreetLaundry: SharedEat-in KitchenFloors: Hardwood,https://www.trulia.com/p/ma/boston/38-garden-st-4-boston-ma-02114--2171828437
"$2,800/mo",70 Joy St #14,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1013 Restaurants118 Groceries375 Nightlife,"70 Joy St #14,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 70 Joy St #14 is located inBeacon Hill, Boston. 70 Joy St #14 was listed for rent for $2,800/month on Apr 28, 2020.","Details for 70 Joy St #14Multi Family58 Days on TruliaRent Includes: Hot Water, Sewage, GarbageDeposit: $2,800Heating fuel: noneNo Air ConditioningLaundry: SharedLaundry: In UnitParking Type: noneDishwasherDisposalDryerRefrigeratorWasherHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/70-joy-st-14-boston-ma-02114--2171829104
"$2,625/mo",98 Myrtle St #6,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeLowest crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1074 Restaurants127 Groceries410 Nightlife,"98 Myrtle St #6,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 98 Myrtle St #6 is located inBeacon Hill, Boston. 98 Myrtle St #6 was listed for rent for $2,625/month on May 31, 2020.","Details for 98 Myrtle St #6Multi Family25 Days on TruliaRent Includes: Hot Water, Sewage, GarbageDeposit: $2,625No Air ConditioningParking Type: noneHeating fuel: noneFloors: HardwoodHeating Fuel: None",https://www.trulia.com/p/ma/boston/98-myrtle-st-6-boston-ma-02114--2182631079
"$2,625/mo",98 Myrtle St #6,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeLowest crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1074 Restaurants127 Groceries410 Nightlife,"98 Myrtle St #6,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 98 Myrtle St #6 is located inBeacon Hill, Boston. 98 Myrtle St #6 was listed for rent for $2,625/month on May 31, 2020.","Details for 98 Myrtle St #6Multi Family25 Days on TruliaRent Includes: Hot Water, Sewage, GarbageDeposit: $2,625No Air ConditioningParking Type: noneHeating fuel: noneFloors: HardwoodHeating Fuel: None",https://www.trulia.com/p/ma/boston/98-myrtle-st-6-boston-ma-02114--2182631079
"$2,800/mo",16 Cedar Lane Way #1,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools5 Elementary Schools1 High School,CrimeModerate crime relative to the rest of Suffolk county.,Commute20% of residents commute by car.,Shop & Eat1105 Restaurants126 Groceries421 Nightlife,"16 Cedar Lane Way #1,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 16 Cedar Lane Way #1 is located inBeacon Hill, Boston. 16 Cedar Lane Way #1 was listed for rent for $2,800/month on Jan 16, 2020.","Details for 16 Cedar Lane Way #1Multi FamilyRent Includes: Sewage, GarbageDeposit: $2,800No Air ConditioningHeating fuel: noneStreet ParkingDishwasherDisposalMicrowaveRefrigeratorFloors: TileHeating Fuel: Electric ElectricSee All",https://www.trulia.com/p/ma/boston/16-cedar-lane-way-1-boston-ma-02108--2171436392
"$2,800/mo",16 Cedar Lane Way #1,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools5 Elementary Schools1 High School,CrimeModerate crime relative to the rest of Suffolk county.,Commute20% of residents commute by car.,Shop & Eat1105 Restaurants126 Groceries421 Nightlife,"16 Cedar Lane Way #1,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 16 Cedar Lane Way #1 is located inBeacon Hill, Boston. 16 Cedar Lane Way #1 was listed for rent for $2,800/month on Jan 16, 2020.","Details for 16 Cedar Lane Way #1Multi FamilyRent Includes: Sewage, GarbageDeposit: $2,800No Air ConditioningHeating fuel: noneStreet ParkingDishwasherDisposalMicrowaveRefrigeratorFloors: TileHeating Fuel: Electric ElectricSee All",https://www.trulia.com/p/ma/boston/16-cedar-lane-way-1-boston-ma-02108--2171436392
"$2,600/mo",38 Garden St #4,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1049 Restaurants121 Groceries395 Nightlife,"38 Garden St #4,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 38 Garden St #4 is located inBeacon Hill, Boston. 38 Garden St #4 was listed for rent for $2,800/month on Jan 8, 2020.",Details for 38 Garden St #4Multi FamilyNo pets allowedRent Includes: Hot WaterParking: Off StreetLaundry: SharedEat-in KitchenFloors: Hardwood,https://www.trulia.com/p/ma/boston/38-garden-st-4-boston-ma-02114--2171828437
"$2,750/mo",70 Joy St #19,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1013 Restaurants118 Groceries375 Nightlife,"70 Joy St #19,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 70 Joy St #19 is located inBeacon Hill, Boston. 70 Joy St #19 was listed for rent for $2,750/month on Dec 26, 2019.","Details for 70 Joy St #19Multi FamilyNo pets allowedRent Includes: Heat, Hot Water, Sewage, GarbageDeposit: $2,750Heating fuel: noneNo Air ConditioningLaundry: In UnitLaundry: SharedStreet ParkingDisposalDryerMicrowaveRefrigeratorWasherFloors: TileHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/70-joy-st-19-boston-ma-02114--2171575312
"$2,750/mo",238 Cambridge St #1,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeModerate crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1039 Restaurants125 Groceries387 Nightlife,"238 Cambridge St #1,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 238 Cambridge St #1 is located inBeacon Hill, Boston. 238 Cambridge St #1 was listed for rent for $2,750/month on Jun 24, 2020. This property is pet friendly.","Details for 238 Cambridge St #1Multi FamilyCats allowedJust ListedRent Includes: Hot Water, Sewage, GarbageLaundry: SharedNo Air ConditioningHeating fuel: noneLaundry: In UnitStreet ParkingDisposalDryerRefrigeratorWasherFloors: HardwoodHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/238-cambridge-st-1-boston-ma-02114--2001415942
"$2,075/mo",9 Myrtle St #10,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1058 Restaurants120 Groceries400 Nightlife,"9 Myrtle St #10,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 9 Myrtle St #10 is located inBeacon Hill, Boston. 9 Myrtle St #10 was listed for rent for $2,075/month on Jun 3, 2020.","Details for 9 Myrtle St #10Multi FamilyAvailable: Sep 1stNo pets allowed22 Days on TruliaDeposit: $2,075Somewhat Modern BathNear Launderette",https://www.trulia.com/p/ma/boston/9-myrtle-st-10-boston-ma-02114--2172854413
"$2,695/mo",14 S Russell St #3,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1022 Restaurants121 Groceries377 Nightlife,"14 S Russell St #3,Boston, MA is a 2 bedroom, 1 bathroom, 750 sqft multi-family. 14 S Russell St #3 is located inBeacon Hill, Boston. 14 S Russell St #3 was listed for rent for $2,695/month on Jun 19, 2020.","Details for 14 S Russell St #3Multi FamilyAvailable: Jul 1stNo pets allowed6 Days on TruliaRent Includes: Heat, Hot Water, WaterDeposit: $2,695Unfurnished -Laundry: SharedDishwasherDisposalRefrigeratorSee All",https://www.trulia.com/p/ma/boston/14-s-russell-st-3-boston-ma-02114--2171577683
"$2,100/mo",4 Champney Pl #2,"Beacon Hill, Boston, MA",1 Bed,1 Bath,Schools8 Elementary Schools,CrimeLowest crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1061 Restaurants124 Groceries399 Nightlife,"4 Champney Pl #2,Boston, MA is a 1 bedroom, 1 bathroom multi-family. 4 Champney Pl #2 is located inBeacon Hill, Boston. 4 Champney Pl #2 was listed for rent for $2,100/month on May 8, 2020.","Details for 4 Champney Pl #2Multi Family48 Days on TruliaRent Includes: Sewage, GarbageDeposit: $2,100No Air ConditioningHeating fuel: noneParking Type: noneFloors: HardwoodHeating Fuel: None",https://www.trulia.com/p/ma/boston/4-champney-pl-2-boston-ma-02114--2001417744
"$3,855/mo",55 Revere St #1,"Beacon Hill, Boston, MA",3 Beds,1 Bath,Schools8 Elementary Schools,CrimeLowest crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1061 Restaurants124 Groceries399 Nightlife,"55 Revere St #1,Boston, MA is a 3 bedroom, 1 bathroom, 900 sqft multi-family. 55 Revere St #1 is located inBeacon Hill, Boston. 55 Revere St #1 was listed for rent for $3,855/month on Jun 19, 2020.","Details for 55 Revere St #1Multi FamilyAvailable: Jul 1stNo pets allowed6 Days on TruliaRent Includes: Heat, Hot Water, WaterDeposit: $3,855Unfurnished -Laundry: SharedDishwasherDisposalRefrigeratorSee All",https://www.trulia.com/p/ma/boston/55-revere-st-1-boston-ma-02114--2174302372
"$2,625/mo",98 Myrtle St #6,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeLowest crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1074 Restaurants127 Groceries410 Nightlife,"98 Myrtle St #6,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 98 Myrtle St #6 is located inBeacon Hill, Boston. 98 Myrtle St #6 was listed for rent for $2,625/month on May 31, 2020.","Details for 98 Myrtle St #6Multi Family25 Days on TruliaRent Includes: Hot Water, Sewage, GarbageDeposit: $2,625No Air ConditioningParking Type: noneHeating fuel: noneFloors: HardwoodHeating Fuel: None",https://www.trulia.com/p/ma/boston/98-myrtle-st-6-boston-ma-02114--2182631079
"$2,100/mo",72 Revere St #A,"Beacon Hill, Boston, MA",1 Bed,1 Bath,Schools7 Elementary Schools,CrimeLow crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1087 Restaurants126 Groceries417 Nightlife,"72 Revere St #A,Boston, MA is a 1 bedroom, 1 bathroom multi-family. 72 Revere St #A is located inBeacon Hill, Boston. 72 Revere St #A was listed for rent for $2,100/month on May 19, 2020. This property is pet friendly.","Details for 72 Revere St #AMulti FamilySmall dogs, large dogs allowed37 Days on TruliaRent Includes: Hot Water, Sewage, GarbageDeposit: $2,100Parking Type: noneLaundry: SharedNo Air ConditioningLaundry: In UnitHeating fuel: noneDryerWasherHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/72-revere-st-a-boston-ma-02114--2171577534
"$2,800/mo",Address Not Disclosed,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1013 Restaurants118 Groceries375 Nightlife,"This home inBoston, MA is a 2 bedroom, 1 bathroom multi-family. This home is located inBeacon Hill, Boston. This property was listed for rent for $2,800/month on Jun 5, 2020.","Home DetailsMulti FamilyNo pets allowed20 Days on TruliaRent Includes: Gas, Heat, Hot Water, WaterParking Type: none",https://www.trulia.com/p/ma/boston/address-not-disclosed-boston-ma-02114--2171575690
"$1,900/mo",44 Joy St #3,"Beacon Hill, Boston, MA",1 Bed,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1044 Restaurants117 Groceries383 Nightlife,"44 Joy St #3,Boston, MA is a 1 bedroom, 1 bathroom multi-family. 44 Joy St #3 is located inBeacon Hill, Boston. 44 Joy St #3 was listed for rent for $1,900/month on Jun 20, 2020.","Details for 44 Joy St #3Multi Family5 Days on TruliaRent Includes: Heat, Hot Water, Sewage, GarbageDeposit: $1,900Heating fuel: noneNo Air ConditioningParking Type: noneFloors: TileHeating Fuel: None",https://www.trulia.com/p/ma/boston/44-joy-st-3-boston-ma-02114--2001417593
"$1,900/mo",44 Joy St #3,"Beacon Hill, Boston, MA",1 Bed,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1044 Restaurants117 Groceries383 Nightlife,"44 Joy St #3,Boston, MA is a 1 bedroom, 1 bathroom multi-family. 44 Joy St #3 is located inBeacon Hill, Boston. 44 Joy St #3 was listed for rent for $1,900/month on Jun 20, 2020.","Details for 44 Joy St #3Multi Family5 Days on TruliaRent Includes: Heat, Hot Water, Sewage, GarbageDeposit: $1,900Heating fuel: noneNo Air ConditioningParking Type: noneFloors: TileHeating Fuel: None",https://www.trulia.com/p/ma/boston/44-joy-st-3-boston-ma-02114--2001417593
"$1,900/mo",44 Joy St #3,"Beacon Hill, Boston, MA",1 Bed,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1044 Restaurants117 Groceries383 Nightlife,"44 Joy St #3,Boston, MA is a 1 bedroom, 1 bathroom multi-family. 44 Joy St #3 is located inBeacon Hill, Boston. 44 Joy St #3 was listed for rent for $1,900/month on Jun 20, 2020.","Details for 44 Joy St #3Multi Family5 Days on TruliaRent Includes: Heat, Hot Water, Sewage, GarbageDeposit: $1,900Heating fuel: noneNo Air ConditioningParking Type: noneFloors: TileHeating Fuel: None",https://www.trulia.com/p/ma/boston/44-joy-st-3-boston-ma-02114--2001417593
"$2,850/mo",238 Cambridge St #5,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeModerate crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1039 Restaurants125 Groceries387 Nightlife,"238 Cambridge St #5,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 238 Cambridge St #5 is located inBeacon Hill, Boston. 238 Cambridge St #5 was listed for rent for $2,850/month on Mar 23, 2020.","Details for 238 Cambridge St #5Multi FamilyNo pets allowedRent Includes: Hot Water, Sewage, GarbageDeposit: $2,850Street ParkingLaundry: SharedNo Air ConditioningHeating fuel: noneLaundry: In UnitDishwasherDryerRefrigeratorWasherFloors: HardwoodHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/238-cambridge-st-5-boston-ma-02114--2001415945
"$2,950/mo",238 Cambridge St #4,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1039 Restaurants125 Groceries387 Nightlife,"238 Cambridge St #4,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 238 Cambridge St #4 is located inBeacon Hill, Boston. 238 Cambridge St #4 was listed for rent for $2,950/month on May 14, 2020. This property is pet friendly.","Details for 238 Cambridge St #4Multi FamilyCats allowed42 Days on TruliaRent Includes: Hot Water, Sewage, GarbageStreet ParkingNo Air ConditioningLaundry: In UnitHeating fuel: noneLaundry: SharedDishwasherDisposalDryerRefrigeratorWasherHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/238-cambridge-st-4-boston-ma-02114--2001415944
"$2,640/mo",Address Not Disclosed,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1013 Restaurants118 Groceries375 Nightlife,"This home inBoston, MA is a 2 bedroom, 1 bathroom multi-family. This home is located inBeacon Hill, Boston. This property was listed for rent for $2,640/month on Apr 3, 2020.","Home DetailsMulti FamilyNo pets allowedRent Includes: Gas, WaterParking Type: none",https://www.trulia.com/p/ma/boston/address-not-disclosed-boston-ma-02114--2171575875
"$2,925/mo",53 Joy St #4,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1044 Restaurants117 Groceries383 Nightlife,"53 Joy St #4,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 53 Joy St #4 is located inBeacon Hill, Boston. 53 Joy St #4 was listed for rent for $2,925/month on Jun 8, 2020.","Details for 53 Joy St #4Multi Family17 Days on TruliaRent Includes: Hot Water, Sewage, GarbageDeposit: $2,925Heating fuel: noneParking Type: noneNo Air ConditioningFloors: HardwoodHeating Fuel: None",https://www.trulia.com/p/ma/boston/53-joy-st-4-boston-ma-02114--2172851055
"$2,925/mo",53 Joy St #4,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1044 Restaurants117 Groceries383 Nightlife,"53 Joy St #4,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 53 Joy St #4 is located inBeacon Hill, Boston. 53 Joy St #4 was listed for rent for $2,925/month on Jun 8, 2020.","Details for 53 Joy St #4Multi Family17 Days on TruliaRent Includes: Hot Water, Sewage, GarbageDeposit: $2,925Heating fuel: noneParking Type: noneNo Air ConditioningFloors: HardwoodHeating Fuel: None",https://www.trulia.com/p/ma/boston/53-joy-st-4-boston-ma-02114--2172851055
"$2,950/mo",238 Cambridge St #6,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeModerate crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1039 Restaurants125 Groceries387 Nightlife,"238 Cambridge St #6,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 238 Cambridge St #6 is located inBeacon Hill, Boston. 238 Cambridge St #6 was listed for rent for $2,950/month on Jun 6, 2020.","Details for 238 Cambridge St #6Multi Family19 Days on TruliaRent Includes: Gas, Heat, Hot Water, Sewage, GarbageParking Type: noneLaundry: SharedHeating fuel: noneLaundry: In UnitNo Air ConditioningDryerRefrigeratorWasherHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/238-cambridge-st-6-boston-ma-02114--2001415946
"$2,895/mo",125 Myrtle St #3,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeLow crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1087 Restaurants126 Groceries417 Nightlife,"125 Myrtle St #3,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 125 Myrtle St #3 is located inBeacon Hill, Boston. 125 Myrtle St #3 was listed for rent for $3,200/month on May 2, 2020. This property is pet friendly.",Details for 125 Myrtle St #3Multi FamilyCats allowed54 Days on TruliaLaundry: SharedFloors: Hardwood,https://www.trulia.com/p/ma/boston/125-myrtle-st-3-boston-ma-02114--2171825163
"$2,850/mo",238 Cambridge St #3,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeModerate crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1039 Restaurants125 Groceries387 Nightlife,"238 Cambridge St #3,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 238 Cambridge St #3 is located inBeacon Hill, Boston. 238 Cambridge St #3 was listed for rent for $2,850/month on Mar 15, 2019.","Details for 238 Cambridge St #3Multi FamilyNo pets allowedRent Includes: Hot Water, Sewage, GarbageLaundry: SharedNo Air ConditioningHeating fuel: noneParking Type: noneLaundry: In UnitDryerWasherFloors: HardwoodHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/238-cambridge-st-3-boston-ma-02114--2001415943
"$2,850/mo",238 Cambridge St #3,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeModerate crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1039 Restaurants125 Groceries387 Nightlife,"238 Cambridge St #3,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 238 Cambridge St #3 is located inBeacon Hill, Boston. 238 Cambridge St #3 was listed for rent for $2,850/month on Mar 15, 2019.","Details for 238 Cambridge St #3Multi FamilyNo pets allowedRent Includes: Hot Water, Sewage, GarbageLaundry: SharedNo Air ConditioningHeating fuel: noneParking Type: noneLaundry: In UnitDryerWasherFloors: HardwoodHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/238-cambridge-st-3-boston-ma-02114--2001415943
"$2,950/mo",238 Cambridge St #4,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1039 Restaurants125 Groceries387 Nightlife,"238 Cambridge St #4,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 238 Cambridge St #4 is located inBeacon Hill, Boston. 238 Cambridge St #4 was listed for rent for $2,950/month on May 14, 2020. This property is pet friendly.","Details for 238 Cambridge St #4Multi FamilyCats allowed42 Days on TruliaRent Includes: Hot Water, Sewage, GarbageStreet ParkingNo Air ConditioningLaundry: In UnitHeating fuel: noneLaundry: SharedDishwasherDisposalDryerRefrigeratorWasherHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/238-cambridge-st-4-boston-ma-02114--2001415944
"$2,950/mo",70 Joy St #10,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1013 Restaurants118 Groceries375 Nightlife,"70 Joy St #10,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 70 Joy St #10 is located inBeacon Hill, Boston. 70 Joy St #10 was listed for rent for $2,950/month on Mar 4, 2020.","Details for 70 Joy St #10Multi FamilyNo pets allowedRent Includes: Hot Water, Sewage, GarbageDeposit: $2,950Laundry: In UnitParking Type: noneHeating fuel: noneLaundry: SharedNo Air ConditioningDishwasherDryerWasherHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/70-joy-st-10-boston-ma-02114--2171822752
"$2,850/mo",224 Cambridge St #6,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeModerate crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1039 Restaurants125 Groceries387 Nightlife,"224 Cambridge St #6,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 224 Cambridge St #6 is located inBeacon Hill, Boston. 224 Cambridge St #6 was listed for rent for $2,850/month on May 20, 2020.","Details for 224 Cambridge St #6Multi Family36 Days on TruliaRent Includes: Hot Water, Sewage, GarbageNo Air ConditioningLaundry: In UnitLaundry: SharedHeating fuel: noneParking Type: noneDishwasherDisposalDryerWasherFloors: HardwoodHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/224-cambridge-st-6-boston-ma-02114--2171829010
"$2,950/mo",141 Revere St #A,"Beacon Hill, Boston, MA",2 Beds,1 Bath,Schools7 Elementary Schools,CrimeLow crime relative to the rest of Suffolk county.,Commute21% of residents commute by car.,Shop & Eat1069 Restaurants126 Groceries393 Nightlife,"141 Revere St #A,Boston, MA is a 2 bedroom, 1 bathroom, 900 sqft multi-family. 141 Revere St #A is located inBeacon Hill, Boston. 141 Revere St #A was listed for rent for $2,950/month on Apr 29, 2020. This property is pet friendly.","Details for 141 Revere St #AMulti FamilySmall dogs allowed57 Days on TruliaRent Includes: Electricity, Heat, WaterDeposit: $2,950Unfurnished -Laundry: SharedDishwasherRefrigerator",https://www.trulia.com/p/ma/boston/141-revere-st-a-boston-ma-02114--2172179692
